################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1         18   1.4234726993437272E-01   6.4741006429321091E-01   3.6462474015869778E-01   5.0552104774458602E-02
         1         19   2.4119260483306242E-04   3.6519820521321522E-02   1.9437476512848821E-02   5.5816595465665638E-03
         1         20   7.2586596171902917E-03   4.2201942897526087E-02   2.2083543309499413E-02   3.4252051294802167E-03
         1         21   8.9186048060513543E-03   1.3779023054065886E-01   5.8556117730651829E-02   1.3475660458607552E-02
         1         22   7.9869180884905439E-02   3.7383343405760450E-01   2.0641148530484169E-01   2.9035935724370705E-02
         1         23   3.7049746194936918E-04   4.0066361565844942E-02   1.8061855763225342E-02   5.3348420743701318E-03
         1         24   5.8765383569190748E-02   2.3683361941336681E-01   1.4516737246348013E-01   1.7959115320824382E-02
         1         25   3.3399385499415031E-03   4.9856260165186093E-02   1.7846568801089389E-02   4.7316457284810234E-03
         1         26   1.8523654423206271E-04   1.6434357371544653E-02   6.8316792287580067E-03   2.2732441498696473E-03
         1         27   3.3074249754454797E-02   1.3977416583830052E-01   8.1214852493279727E-02   1.1806352512269656E-02
         1         28   5.8629103847118724E-04   1.0367164225552372E-02   4.1696415379305022E-03   9.9415785177154139E-04
         1         29   8.0788399673313474E-04   1.2326827369630448E-02   3.5133451454464905E-03   9.7454153026825822E-04
         1         30   1.1519099697803792E-02   4.1154738287443142E-02   2.3507077214796723E-02   3.4209175183196805E-03
         1         31   8.2822196724436573E-05   6.2500173491774171E-03   1.0433713891511340E-03   4.7052070632012607E-04
         1         32   1.0685702214845659E-02   3.5268555428015304E-02   2.1037103458501367E-02   2.9608753858340288E-03
         1         33   9.6446264646557426E-07   3.7843217311621085E-03   5.0190787265073325E-04   2.9399034422832656E-04
         1         34   9.0193070298939595E-03   2.8207495534920867E-02   1.7195317743672115E-02   2.3789300992573051E-03
         1         35   5.9804913989527464E-04   3.6414774004873644E-03   1.5505785808957850E-03   3.0527282722358964E-04
         2          1   1.8202373373155509E+00   3.4711954476761280E+00   2.6441105316816000E+00   1.7878115371388556E-01
         2          2   5.3777147637083744E-01   1.3656029480767089E+00   9.6113040006763784E-01   8.6712877287939902E-02
         2          3   1.3832088368712068E+00   2.7032972148992558E+00   2.0320336395612411E+00   1.4005078352489236E-01
         2          4   3.4478083238206142E-01   9.7866410925505043E-01   6.5925393222371198E-01   6.5724915122336053E-02
         2          5   8.8634750730283574E-01   1.7492204997407148E+00   1.3084725357629929E+00   9.0031614479301608E-02
         2          6   1.2693559040981711E-01   4.9617550524185933E-01   3.1178937031976883E-01   3.7838643349467037E-02
         2          7   6.0341210468956896E-01   1.1120320353476842E+00   8.6038875918175706E-01   5.7142398247547695E-02
         2          8   3.1300036503461144E-02   2.0157384715369855E-01   1.1685668984626760E-01   1.8453389969596810E-02
         2          9   6.9753967453420473E-01   1.3992441067081833E+00   1.0448626216117756E+00   7.9491632093924541E-02
         2         10   2.9466482930500498E-01   1.1550681381732137E+00   7.0537631042368021E-01   8.5262630914468840E-02
         2         11   6.4139794235830550E-01   1.1809215293755011E+00   8.7820860970284609E-01   6.8729158014845887E-02
         2         12   1.9759247447347342E-01   1.0763441472200557E+00   6.0997838561716156E-01   8.2538421125036038E-02
         2         13   6.2346301114326452E-01   1.0205970996635905E+00   7.6733563097047952E-01   5.3916995462220889E-02
         2         14   1.0884473901204658E-01   9.9034048836039545E-01   5.3268428855563976E-01   8.2632579551144211E-02
         2         15   5.7997749986671543E-01   8.6251615181190600E-01   6.6726118138157686E-01   2.4355929359145746E-02
         2         16   1.5010412452961036E-02   8.2604858090283739E-01   4.5466683901203292E-01   9.1016536071866036E-02
         2         17   7.8259613417835813E-02   3.3549607264950448E-01   1.8606596019575847E-01   2.7450188925148122E-02
         2         18   1.9439085332681197E-02   1.6570320685639608E-01   7.4901097600173244E-02   1.5005211011236249E-02
         2         19   1.0721864854466741E-03   2.0320960914123706E-02   7.2963459743142674E-03   2.0014622217649162E-03
         2         20   1.1892812872121510E-01   5.5728626259283354E-01   2.9301526321551113E-01   4.6234173954715921E-02
         2         21   1.0001393359682345E-01   5.2295563790902788E-01   2.7422600486345805E-01   4.3023980343084058E-02
         2         22   4.1358460092388010E-03   5.1412076582654023E-02   2.0198390476557679E-02   4.7604597909298250E-03
         2         23   2.5766876766227459E-03   3.2618653392045005E-02   1.6211922657572909E-02   3.2635409133013513E-03
         2         24   7.6815505857712546E-02   3.4284146359417356E-01   1.9908971922589153E-01   2.7518639704346658E-02
         2         25   4.7051209140577852E-02   1.9824140182638036E-01   1.1289867399401385E-01   1.7005731054634810E-02
         2         26   5.9223307069428167E-02   3.0038752002707853E-01   1.5206892904147939E-01   2.5354982467391828E-02
         2         27   3.3807028460785997E-03   3.6493077721293163E-02   1.7106863246348972E-02   3.7560481013092450E-03
