################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  1.9200216796800151E+00 a       205     0     9     1     5
 -6.9243029351873977E+00 a       206     0     9     1     6
  1.2531662551004201E+00 a       207     0     9     1     7
  1.9127021425155032E+01 a       208     0     9     1     8
 -1.7805045056836352E+01 a       209     0     9     1     9
 -3.6262285040387647E+00 a       210     0     9     1    10
  4.0045429482887540E+00 a       211     0     9     1    11
 -1.1271980364300417E+01 a       212     0     9     1    12
  1.8796191767339220E+01 a       213     0     9     1    13
 -3.8087047146748876E-01 a       214     0     9     1    14
  1.4577038047909300E+01 a       215     0     9     1    15
  5.6359860030899647E+00 a       216     0     9     1    16
 -6.5258636166417237E+00 a       217     0     9     1    17
  4.7098435060723904E+00 a       218     0     9     1    18
  2.1987209906467826E+00 a       219     0     9     1    19
  1.0599223636326474E+01 a       220     0     9     1    20
 -3.9682972002883097E+00 a       221     0     9     1    21
 -3.1084743569470796E+00 a       222     0     9     1    22
  7.8853390674647417E-01 a       223     0     9     1    23
  6.7026653182475338E+00 a       224     0     9     1    24
  1.3528182578916908E+01 a       225     0     9     1    25
  1.7431017617536430E+01 a       226     0    10     1     1
 -1.1828245058673316E+01 a       227     0    10     1     2
  4.3904469799708430E+00 a       228     0    10     1     3
  2.6129010304301779E+01 a       229     0    10     1     4
  5.4172079785875926E+00 a       230     0    10     1     5
  9.7365150180916817E+00 a       231     0    10     1     6
 -6.2470300799034719E+00 a       232     0    10     1     7
  1.7314036535052331E+01 a       233     0    10     1     8
  6.8193887355334892E+00 a       234     0    10     1     9
  5.9014903044471119E+00 a       235     0    10     1    10
  1.8637646496905401E+01 a       236     0    10     1    11
 -6.0289680588614996E+00 a       237     0    10     1    12
 -6.2556429849709225E+00 a       238     0    10     1    13
  5.1719287093285760E-01 a       239     0    10     1    14
 -1.2135461255387792E+01 a       240     0    10     1    15
  5.8821944678137523E+00 a       241     0    10     1    16
 -2.2837482753989445E+01 a       242     0    10     1    17
 -1.2329834987758087E+01 a       243     0    10     1    18
  9.9116012924038497E+00 a       244     0    10     1    19
